"case_study","title","author","journal","year","Threat_category_numeric","Threat_category_description","Response_category_numeric","Response_category_description"
"sample","A brighter future for frogs? The influence of carotenoids on the health,   development and reproductive success of the red-eye tree frog","V. Ogilvy and R. F. Preziosi and A. L. Fidgett","animalconservation",2012,1,"Describing the state of nature",4,"Testing response"
"sample","Host limitation of the thick-shelled river mussel: identifying the   threats to declining affiliate species","K. Douda and P. Horky and M. Bily","animalconservation",2012,1,"Describing the state of nature",0,"No response"
"sample","High levels of population differentiation in Eurasian lynx at the edge   of the species' western range in Europe revealed by mitochondrial DNA   analyses","M. Ratkiewicz and M. Matosiuk and R. Kowalczyk and M. K. Konopinski and H. Okarma and J. Ozolins and P. Maennil and A. Ornicans and K. Schmidt","animalconservation",2012,1,"Describing the state of nature",0,"No response"
"sample","Divergent forecasts for two salt marsh specialists in response to sea   level rise","E. A. Hunter and N. P. Nibbelink and R. J. Cooper","animalconservation",2017,2,"Threatening mechanism",0,"No response"
"sample","National assessment of threatened species using sparse data: IUCN Red   List classification of Anatidae in Iran","E. Nourani and M. Kaboli and M. Farhoodinia and B. Collen","animalconservation",2017,1,"Describing the state of nature",0,"No response"
"sample","Landscape connectivity losses due to sea level rise and land use change","P. B. Leonard and R. W. Sutherland and R. F. Baldwin and D. A. Fedak and R. G. Carnes and A. P. Montgomery","animalconservation",2017,2,"Threatening mechanism",0,"No response"
"sample","Ecotourism marketing alternative to charismatic megafauna can also   support biodiversity conservation","A. Hausmann and R. Slotow and I. Fraser and E. Di Minin","animalconservation",2017,4,"Underlying driver of threat",0,"No response"
"sample","Adaptive space use by baboons (Papio ursinus) in response to management   interventions in a human-changed landscape","G. Fehlmann and M. J. O'Riain and C. Kerr-Smith and A. J. King","animalconservation",2017,1,"Describing the state of nature",0,"No response"
"sample","Local factors mediate the response of biodiversity to land use on two   African mountains","M. Jung and S. L. L. Hill and P. J. Platts and R. Marchant and S. Siebert and A. Fournier and F. B. Munyekenye and A. Purvis and N. D. Burgess and T. Newbold","animalconservation",2017,2,"Threatening mechanism",0,"No response"
"sample","The impact of lions on the demography and ecology of endangered African   wild dogs","R. J. Groom and K. Lannas and C. R. Jackson","animalconservation",2017,1,"Describing the state of nature",0,"No response"
"sample","Grain spilled from moving trains create a substantial wildlife   attractant in protected areas","A. Gangadharan and S. Pollock and P. Gilhooly and A. Friesen and B. Dorsey and C. C. St Clair","animalconservation",2017,2,"Threatening mechanism",0,"No response"
"sample","Identification of candidate pelagic marine protected areas through a   seabird seasonal-, multispecific- and extinction risk-based approach","L. Kruger and J. A. Ramos and J. C. Xavier and D. Gremillet and J. Gonzalez-Solis and Y. Kolbeinsson and T. Militao and J. Navarro and M. V. Petry and R. A. Phillips and I. Ramirez and J. M. Reyes-Gonzalez and P. G. Ryan and I. A. Sigurdsson and E. Van Sebille and R. M. Wanless and V. H. Paiva","animalconservation",2017,2,"Threatening mechanism",1,"Proposing a response"
"sample","Can fear conditioning repel California sea lions from fishing   activities?","Zachary A. Schakner and Thomas Gotz and Vincent M. Janik and Daniel T. Blumstein","animalconservation",2017,2,"Threatening mechanism",4,"Testing response"
"sample","Habitat diversity enhances ant diversity in a naturally heterogeneous   Brazilian landscape","Renata Pacheco and Heraldo L. Vasconcelos","biodiversityandconservation",2012,1,"Describing the state of nature",0,"No response"
"sample","Wildlife trade products available to U.S. military personnel serving   abroad","Heidi E. Kretser and McKenzie F. Johnson and Lisa M. Hickey and Peter Zahler and Elizabeth L. Bennett","biodiversityandconservation",2012,3,"Source of mechanism",0,"No response"
"sample","High altitude biodiversity of the Alps and the Himalayas: ethnobotany,   plant distribution and conservation perspective","Chandra Prakash Kala and Petra Ratajc","biodiversityandconservation",2012,1,"Describing the state of nature",0,"No response"
"sample","Species richness of plants and fungi in western Panama: towards a fungal   inventory in the tropics","M. Piepenbring and T. A. Hofmann and M. Unterseher and G. Kost","biodiversityandconservation",2012,1,"Describing the state of nature",0,"No response"
"sample","Delimiting priorities while biodiversity is lost: Rio's seasonal   killifishes on the edge of survival","Wilson J. E. M. Costa","biodiversityandconservation",2012,1,"Describing the state of nature",3,"Implementing response"
"sample","A comparative analysis of global, national, and state red lists for   threatened amphibians in Brazil","Alessandro R. Morais and Rosana Talita Braga and Rogerio P. Bastos and Daniel Brito","biodiversityandconservation",2012,1,"Describing the state of nature",0,"No response"
"sample","The effect of bark beetle infestation and salvage logging on bat   activity in a national park","Milenka Mehr and Roland Brandl and Thomas Kneib and Joerg Mueller","biodiversityandconservation",2012,2,"Threatening mechanism",0,"No response"
"sample","Exploited for pets: the harvest and trade of amphibians and reptiles   from Indonesian New Guinea","Daniel J. D. Natusch and Jessica A. Lyons","biodiversityandconservation",2012,2,"Threatening mechanism",0,"No response"
"sample","Dendroecological analysis of relict pine forests in the centre of the   Iberian Peninsula","Mar Genova and Pablo Moya","biodiversityandconservation",2012,1,"Describing the state of nature",0,"No response"
"sample","Increased openness around retained oaks increases species richness of   saproxylic beetles","Maria Koch Widerberg and Thomas Ranius and Igor Drobyshev and Urban Nilsson and Matts Lindbladh","biodiversityandconservation",2012,1,"Describing the state of nature",4,"Testing response"
"sample","Landscape determinants of European roller foraging habitat: implications   for the definition of agri-environmental measures for species   conservation","Ines Catry and Joana Marcelino and Aldina M. A. Franco and Francisco Moreira","biodiversityandconservation",2017,1,"Describing the state of nature",0,"No response"
"sample","Unraveling cryptic invasion of a freshwater snail in Chile based on   molecular and morphological data","Gonzalo A. Collado","biodiversityandconservation",2017,1,"Describing the state of nature",0,"No response"
"sample","Camera trapping surveys of forest mammal communities in the Eastern Arc   Mountains reveal generalized habitat and human disturbance responses","Francesco Rovero and Nisha Owen and Trevor Jones and Elisabetta Canteri and Aaron Iemma and Clara Tattoni","biodiversityandconservation",2017,2,"Threatening mechanism",0,"No response"
"sample","Conservation implications of significant population differentiation in   an endangered estuarine seahorse","T. K. Mkare and B. Jansen van Vuuren and P. R. Teske","biodiversityandconservation",2017,1,"Describing the state of nature",3,"Implementing response"
"sample","Old trees as a key source of epiphytic lichen persistence and spatial   distribution in mountain Norway spruce forests","Lucie Zemanova and Volodymyr Trotsiuk and Robert C. Morrissey and Radek Bace and Martin Mikolas and Miroslav Svoboda","biodiversityandconservation",2017,1,"Describing the state of nature",0,"No response"
"sample","Enhancing gardens as habitats for plant-associated invertebrates: should   we plant native or exotic species?","Andrew Salisbury and Sarah Al-Beidh and James Armitage and Stephanie Bird and Helen Bostock and Anna Platoni and Mark Tatchell and Ken Thompson and Joe Perry","biodiversityandconservation",2017,1,"Describing the state of nature",4,"Testing response"
"sample","Conservation genetic assessment of four plant species in a small replica   of a steppe ecosystem >30 years after establishment","Christina Magdalena Mueller and Bjoern Huwe and Volker Wissemann and Jasmin Joshi and Birgit Gemeinholzer","biodiversityandconservation",2017,1,"Describing the state of nature",4,"Testing response"
"sample","An indigenous community-based monitoring system for assessing forest   health in New Zealand","P. O'. B. Lyver and P. Timoti and C. J. Jones and S. J. Richardson and B. L. Tahi and S. Greenhalgh","biodiversityandconservation",2017,1,"Describing the state of nature",0,"No response"
"sample","A hot-spot of biodiversity in Northern Patagonia, Argentina","Marina Guller and Diego G. Zelaya","biodiversityandconservation",2017,1,"Describing the state of nature",0,"No response"
"sample","Case study of the implications of climate change for lichen diversity   and distributions","Marta Rubio-Salcedo and Achilleas Psomas and Maria Prieto and Niklaus E. Zimmermann and Isabel Martinez","biodiversityandconservation",2017,2,"Threatening mechanism",0,"No response"
"sample","Will use of non-biodiversity objectives to select areas for ecological   restoration always compromise biodiversity gains?","Norman W. H. Mason and Anne-Gaelle E. Ausseil and John R. Dymond and Jake McC. Overton and Robbie Price and Fiona E. Carswell","biologicalconservation",2012,1,"Describing the state of nature",1,"Proposing a response"
"sample","Grazing exclusion and phosphorus addition as potential local management   options for the restoration of alpine moss-sedge heath","Heather F. Armitage and Andrea J. Britton and Rene van der Wal and Sarah J. Woodin","biologicalconservation",2012,2,"Threatening mechanism",4,"Testing response"
"sample","Empirical evidence for reduced protection levels across biodiversity   features from target-based conservation planning","Enrico Di Minin and Atte Moilanen","biologicalconservation",2012,1,"Describing the state of nature",4,"Testing response"
"sample","Accelerating population decline of Yangtze finless porpoise (Neophocaena   asiaeorientalis asiaeorientalis)","Zhigang Mei and Shiang-Lin Huang and Yujiang Hao and Samuel T. Turvey and Weiming Gong and Ding Wang","biologicalconservation",2012,1,"Describing the state of nature",0,"No response"
"sample","Is biodiversity management effective? Cross-sectional relationships   between management, bird response and vegetation attributes in an   Australian agri-environment scheme","David Lindenmayer and Jeff Wood and Rebecca Montague-Drake and Damian Michael and Mason Crane and Sachiko Okada and Chris MacGregor and Phil Gibbons","biologicalconservation",2012,2,"Threatening mechanism",4,"Testing response"
"sample","Response of non-vascular epiphytes to simulated climate change in a   montane moist evergreen broad-leaved forest in southwest China","Liang Song and Wen-Yao Liu and Nalini M. Nadkarni","biologicalconservation",2012,2,"Threatening mechanism",0,"No response"
"sample","Defeating the `resource curse': Key priorities for conserving Papua New   Guinea's native forests","William F. Laurance and Titus Kakul and Memory Tom and Reza Wahya and Susan G. Laurance","biologicalconservation",2012,3,"Source of mechanism",2,"Designing a response"
"sample","Assessing different management scenarios to reverse the declining trend   of a relict capercaillie population: A modelling approach within an   adaptive management framework","Mariana Fernandez-Olalla and Alejandro Martinez-Abrain and Jordi Canut and Diego Garcia-Ferre and Ivan Afonso and Luis Mariano Gonzalez","biologicalconservation",2012,1,"Describing the state of nature",3,"Implementing response"
"sample","Mapping to inform conservation: A case study of changes in semi-natural   habitats and their connectivity over 70 years","D. A. P. Hooftman and J. M. Bullock","biologicalconservation",2012,2,"Threatening mechanism",1,"Proposing a response"
"sample","Conservation cornerstones: Capitalising on the endeavours of long-term   monitoring projects","Greg J. Holland and Jerry S. A. Alexander and Peter Johnson and Andrew H. Arnold and Merril Halley and Andrew F. Bennett","biologicalconservation",2012,1,"Describing the state of nature",0,"No response"
"sample","Free-ranging livestock threaten the long-term survival of giant pandas","Binbin V. Li and Stuart L. Pimm and Sheng Li and Lianjun Zhao and Chunping Luo","biologicalconservation",2017,1,"Describing the state of nature",0,"No response"
"sample","Evidence of reproductive senescence of released individuals in a   reinforced bird population","Leo Bacon and Yves Hingrat and Alexandre Robert","biologicalconservation",2017,1,"Describing the state of nature",4,"Testing response"
"sample","Non-random lizard extinctions in land-bridge Amazonian forest islands   after 28 years of isolation","Ana Filipa Palmeirim and Marcus Vinicius Vieira and Carlos A. Peres","biologicalconservation",2017,1,"Describing the state of nature",0,"No response"
"sample","A national-scale assessment of climate change impacts on species:   Assessing the balance of risks and opportunities for multiple taxa","James W. Pearce-Higgins and Colin M. Beale and Tom H. Oliver and Tom A. August and Matthew Carroll and Dario Massimino and Nancy Ockendon and Joanne Savage and Christopher J. Wheatley and Malcolm A. Ausden and Richard B. Bradbury and Simon J. Duffield and Nicholas A. Macgregor and Colin J. McClean and Michael D. Morecroft and Chris D. Thomas and Olly Watts and Bjorn C. Beckmann and Richard Fox and Helen E. Roy and Peter G. Sutton and Kevin J. Walker and Humphrey Q. P. Crick","biologicalconservation",2017,1,"Describing the state of nature",0,"No response"
"sample","Rapid response for invasive waterweeds at the arctic invasion front:   Assessment of collateral impacts from herbicide treatments","Suresh Andrew Sethi and Michael P. Carey and John M. Morton and Edgar Guerron-Orejuela and Robert Decino and Mark Willette and James Boersma and Jillian Jablonski and Cheryl Anderson","biologicalconservation",2017,1,"Describing the state of nature",4,"Testing response"
"sample","Springs: Conserving perennial water is critical in arid landscapes","J. A. Davis and A. Kerezsy and S. Nicol","biologicalconservation",2017,3,"Source of mechanism",1,"Proposing a response"
"sample","Open oakwoods facing modern threats: Will they survive the next fifty   years?","Marketa Chudomelova and Radim Hedl and Vaclav Zouhar and Peter Szabo","biologicalconservation",2017,1,"Describing the state of nature",0,"No response"
"sample","Measuring the effectiveness of protected area management by comparing   habitat utilization and threat dynamics","Minghao Gong and Zhiyong Fan and Ximing Zhang and Gang Liu and Wanyu Wen and Ling Zhang","biologicalconservation",2017,1,"Describing the state of nature",4,"Testing response"
"sample","`Do you come from a land down under?' Characteristics of the   international trade in Australian endemic parrots","Miguel Vall-Ilosera and Phillip Cassey","biologicalconservation",2017,1,"Describing the state of nature",4,"Testing response"
"sample","Monitoring national conservation progress with indicators derived from   global and national datasets","Xuemei Han and Carmen Josse and Bruce E. Young and Regan L. Smyth and H. Healy Hamilton and Nadine Bowles-Newark","biologicalconservation",2017,1,"Describing the state of nature",0,"No response"
"sample","Identifying non-invasible habitats for marine copepods using   temperature-dependent R-0","Harshana Rajakaruna and Carly Strasser and Mark Lewis","biologicalinvasions",2012,2,"Threatening mechanism",0,"No response"
"sample","Regional differences in foraging behaviour of invasive green crab   (Carcinus maenas) populations in Atlantic Canada","Melanie A. Rossong and Pedro A. Quijon and Paul V. R. Snelgrove and Timothy J. Barrett and Cynthia H. McKenzie and Andrea Locke","biologicalinvasions",2012,2,"Threatening mechanism",0,"No response"
"sample","Effects of an invasive reef-building polychaete on the biomass and   composition of estuarine macroalgal assemblages","Maria Cielo Bazterrica and Florencia Botto and Oscar Iribarne","biologicalinvasions",2012,2,"Threatening mechanism",0,"No response"
"sample","Low dissolved ions may limit secondary invasion of inland waters by   exotic round gobies and dreissenid mussels in North America","Brad S. Baldwin and Matthew Carpenter and Kristin Rury and Erin Woodward","biologicalinvasions",2012,2,"Threatening mechanism",0,"No response"
"sample","The tree fern Dicksonia antarctica invades two habitats of European   conservation priority in So Miguel Island, Azores","Maria L. Arosa and Ricardo S. Ceia and Luis G. Quintanilla and Jaime A. Ramos","biologicalinvasions",2012,2,"Threatening mechanism",0,"No response"
"sample","With a little help from my friends: hybrid fertility of exotic Populus x   canadensis enhanced by related native Populus nigra","An Vanden-Broeck and Karen Cox and Boudewijn Michiels and Pieter Verschelde and Marc Villar","biologicalinvasions",2012,2,"Threatening mechanism",0,"No response"
"sample","Predicting the spread of feral populations of the American mink in   Italy: is it too late for eradication?","F. Iordan and S. P. Rushton and D. W. Macdonald and L. Bonesi","biologicalinvasions",2012,2,"Threatening mechanism",0,"No response"
"sample","Water brownification may increase the invasibility of a submerged   non-native macrophyte","Roger Paulo Mormul and Johan Ahlgren and Mattias K. Ekvall and Lars-Anders Hansson and Christer Bronmark","biologicalinvasions",2012,2,"Threatening mechanism",0,"No response"
"sample","Physicochemical and morphological degradation of stream and river   habitats increases invasion risk","Denise Frueh and Stefan Stoll and Peter Haase","biologicalinvasions",2012,2,"Threatening mechanism",0,"No response"
"sample","Impacts of an abundant introduced ecosystem engineer within mudflats of   the southeastern US coast","James E. Byers and Paul E. Gribben and Caitlin Yeager and Erik E. Sotka","biologicalinvasions",2012,2,"Threatening mechanism",0,"No response"
"sample","Positive selection of beautiful invaders: long-term persistence and   bio-invasion risk of freshwater crayfish in the pet trade","Christoph Chucholl and Franziska Wendler","biologicalinvasions",2017,3,"Source of mechanism",0,"No response"
"sample","Invasive plant management creates ecological traps for snakes","Evin T. Carter and Michael J. Ravesi and Bryan C. Eads and Bruce A. Kingsbury","biologicalinvasions",2017,2,"Threatening mechanism",4,"Testing response"
"sample","Unusual suspects in the usual places: a phylo-climatic framework to   identify potential future invasive species","R. M. B. Harris and D. J. Kriticos and T. Remenyi and N. Bindoff","biologicalinvasions",2017,2,"Threatening mechanism",0,"No response"
"sample","Relative leaping abilities of native versus invasive cyprinids as   criteria for selective barrier design","R. Moran-Lopez and O. Uceda Tolosa","biologicalinvasions",2017,2,"Threatening mechanism",1,"Proposing a response"
"sample","Two for one: inadvertent introduction of Euglandina species during   failed bio-control efforts in Hawaii","Wallace M. Meyer III and Norine W. Yeung and John Slapcinsky and Kenneth A. Hayes","biologicalinvasions",2017,2,"Threatening mechanism",0,"No response"
"sample","Don't leave me behind: viability of vegetative propagules of the clonal   invasive Carpobrotus edulis and implications for plant management","Pablo Souza-Alonso and Luis Gonzalez","biologicalinvasions",2017,2,"Threatening mechanism",0,"No response"
"sample","Acorns of invasive Northern Red Oak (Quercus rubra) in Europe are larval   hosts for moths and beetles","Lukasz Myczko and Lukasz Dylewski and Artur Chrzanowski and Tim H. Sparks","biologicalinvasions",2017,2,"Threatening mechanism",0,"No response"
"sample","Home and away: biogeographical comparison of species diversity in Thymus   vulgaris communities","Jacqueline A. Nielsen and Eva Grondahl and Ragan M. Callaway and Katharine J. M. Dickinson and Bodil K. Ehlers","biologicalinvasions",2017,1,"Describing the state of nature",0,"No response"
"sample","Dispersal and local environment affect the spread of an invasive apple   snail (Pomacea maculata) in Florida, USA","Steffan M. Pierre and Pedro F. Quintana-Ascencio and Elizabeth H. Boughton and David G. Jenkins","biologicalinvasions",2017,2,"Threatening mechanism",0,"No response"
"sample","Urban environments provide opportunities for early detections of   Phytophthora invasions","Joseph M. Hulbert and Michelle C. Agne and Treena I. Burgess and Francois Roets and Michael J. Wingfield","biologicalinvasions",2017,2,"Threatening mechanism",1,"Proposing a response"
"sample","Breeding biology and population increase of the Endangered Bermuda   Petrel Pterodroma cahow","Jeremy Madeiros and Nicholas Carlile and David Priddel","birdconservationinternational",2012,1,"Describing the state of nature",4,"Testing response"
"sample","The economic cost of seabird bycatch in Argentinean longline fisheries","Patricia Gandini and Esteban Frere","birdconservationinternational",2012,3,"Source of mechanism",4,"Testing response"
"sample","Long term stability of White-necked Picathartes population in south-east   Sierra Leone","David Monticelli and Alhaji Siaka and Graeme M. Buchanan and Simon Wotton and Tony Morris and Jim C. Wardill and Jeremy A. Lindsell","birdconservationinternational",2012,1,"Describing the state of nature",0,"No response"
"sample","Avian conservation value of pine plantation forests in northern Vietnam","Vu Tien Thinh and Paul F. Doherty Jr. and Kathryn P. Huyvaert","birdconservationinternational",2012,2,"Threatening mechanism",0,"No response"
"sample","The Azure Jay may reproduce in plantations of Araucaria angustifolia in   southern Brazil","Andrea Larissa Boesing and Luiz Dos Anjos","birdconservationinternational",2012,1,"Describing the state of nature",0,"No response"
"sample","Preliminary assessment of distribution and population size of wintering   Little Bustards Tetrax tetrax in Iran","Mohammad E. Sehhatisabet and Fazel Abdi and Abbas Ashoori and Abolghasem Khaleghizadeh and Ali Khani and Koros Rabiei and Mahmood Shakiba","birdconservationinternational",2012,1,"Describing the state of nature",0,"No response"
"sample","Spatial ecology and habitat selection of Little Owl Athene noctua during   the breeding season in Central European farmland","Martin Salek and Matej Loevy","birdconservationinternational",2012,1,"Describing the state of nature",1,"Proposing a response"
"sample","Reproductive success of the threatened Reed Parrotbill Paradoxornis   heudei in non-harvested and harvested reedbeds in the Yangtze River   estuary, China","Anthony Boulord and Zhang Mei and Wang Tian-Hou and Wang Xiao-Ming and Frederic Jiguet","birdconservationinternational",2012,2,"Threatening mechanism",0,"No response"
"sample","Threatened birds of Guatemala: a random subset of the avifauna?","Andrea Najera and Javier A. Simonetti","birdconservationinternational",2012,1,"Describing the state of nature",0,"No response"
"sample","Nesting habitat of the Tucuman Parrot Amazona tucumana in an old-growth   cloud-forest of Argentina","Luis Rivera and Natalia Politi and Enrique H. Bucher","birdconservationinternational",2012,1,"Describing the state of nature",0,"No response"
"sample","The next common and widespread bunting to go? Global population decline   in the Rustic Bunting Emberiza rustica","Lars Edenius and Chang-Yong Choi and Wieland Heim and Tuomo Jaakkonen and Adriaan De Jong and Kiyoaki Ozaki and Jean-Michel Roberge","birdconservationinternational",2017,1,"Describing the state of nature",0,"No response"
"sample","Raptor and large soaring bird migration across the Isthmus of   Tehuantepec, Mexico: distribution, seasonality, and phenology","Sergio A. Cabrera-Cruz and Juan A. Cervantes-Pasqualli and Ernesto Ruelas Inzunza and Tereso Hernandez-Morales and Rafael Villegas-Patraca","birdconservationinternational",2017,1,"Describing the state of nature",0,"No response"
"sample","Volunteer survey effort for high-profile species can benefit   conservation of non-focal species","Nicola J. Crockford and Graeme M. Buchanan","birdconservationinternational",2017,1,"Describing the state of nature",0,"No response"
"sample","The importance of protected and unprotected areas for colony occupancy   and colony size in White-necked Picathartes Picathartes gymnocephalus in   and around Gola Rainforest National Park, Sierra Leone","Malcolm Burgess and Annika Hillers and Denis Bannah and Sullay Mohamed and Mohamed Swaray and Brima S. Turay and Juliet Vickery and Jeremy Lindsell","birdconservationinternational",2017,1,"Describing the state of nature",4,"Testing response"
"sample","Ruddy-headed Goose Chloephaga rubidiceps: former plague and present   protected species on the edge of extinction","Natalia A. Cossa and Laura Fasola and Ignacio Roesler and Juan Carlos Reboreda","birdconservationinternational",2017,2,"Threatening mechanism",0,"No response"
"sample","Effect of landscape variables on the long-term decline of Great Argus in   the rainforest of Southern Thailand","Thanee Dawrueng and Dusit Ngoprasert and George A. Gale and Stephen Browne and Tommaso Savini","birdconservationinternational",2017,1,"Describing the state of nature",0,"No response"
"sample","The intertidal wetlands of southern Jiangsu Province, China - globally   important for Spoon-billed Sandpipers and other threatened waterbirds,   but facing multiple serious threats","He-Bo Peng and Guy Q. A. Anderson and Qing Chang and Chi-Yeung Choi and Sayam U. Chowdhury and Nigel A. Clark and Xiaojing Gan and Richard D. Hearn and Jing Li and Elena G. Lappo and Wenliang Liu and Zhijun Ma and David S. Melville and James F. Phillips and Evgeny E. Syroechkovskiy and Menxiu Tong and Songling Wang and Lin Zhang and Christoph Zockler","birdconservationinternational",2017,2,"Threatening mechanism",0,"No response"
"sample","Atlas data indicate forest dependent bird species declines in South   Africa","Tessa J. G. Cooper and Andrew. M. Wannenburgh and Michael I. Cherry","birdconservationinternational",2017,2,"Threatening mechanism",0,"No response"
"sample","Characteristics of home range areas used by Saker Falcons (Falco   cherrug) wintering on the Qinghai-Tibetan Plateau","Andrew Dixon and Xinhai Li and Md. Lutfor Rahman and Nyambayar Batbayar and Xiangjiang Zhan","birdconservationinternational",2017,1,"Describing the state of nature",0,"No response"
"sample","On the brink: status and breeding ecology of Eleonora's Falcon Falco   eleonorae in Algeria","Laid Touati and Riad Nedjah and Farrah Samraoui and Ahmed H. Alfarhan and Laura Gangoso and Jordi Figuerola and Boudjema Samraoui","birdconservationinternational",2017,1,"Describing the state of nature",0,"No response"
"sample","Conservation Objectives and Sea-Surface Temperature Anomalies in the   Great Barrier Reef","Natalie C. Ban and Robert L. Pressey and Scarla Weeks","conservationbiology",2012,2,"Threatening mechanism",1,"Proposing a response"
"sample","Selecting for Tolerance against Pathogens and Herbivores to Enhance   Success of Reintroduction and Translocation","Matthew D. Venesky and Joseph R. Mendelson III and Brittany F. Sears and Peter Stiling and Jason R. Rohr","conservationbiology",2012,2,"Threatening mechanism",1,"Proposing a response"
"sample","Population Dynamics of Hawaiian Seabird Colonies Vulnerable to Sea-Level   Rise","Jeff S. Hatfield and Michelle H. Reynolds and Nathaniel E. Seavy and Crystal M. Krause","conservationbiology",2012,2,"Threatening mechanism",1,"Proposing a response"
"sample","Occurrence of the Non-Native Annual Bluegrass on the Antarctic Mainland   and Its Negative Effects on Native Plants","Marco A. Molina-Montenegro and Fernando Carrasco-Urra and Cristian Rodrigo and Peter Convey and Fernando Valladares and Ernesto Gianoli","conservationbiology",2012,2,"Threatening mechanism",0,"No response"
"sample","Costs of Expanding the Network of Protected Areas as a Response to   Climate Change in the Cape Floristic Region","Russell M. Wise and Belinda Reyers and Chris Guo and Guy F. Midgley and Willem De Lange","conservationbiology",2012,2,"Threatening mechanism",2,"Designing a response"
"sample","Effects of Vegetation Cover, Presence of a Native Ant Species, and Human   Disturbance on Colonization by Argentine Ants","Katherine Fitzgerald and Deborah M. Gordon","conservationbiology",2012,2,"Threatening mechanism",0,"No response"
"sample","Hunting, Law Enforcement, and African Primate Conservation","Paul K. N'Goran and Christophe Boesch and Roger Mundry and Eliezer K. N'Goran and Ilka Herbinger and Fabrice A. Yapi and Hjalmar S. Kuehl","conservationbiology",2012,2,"Threatening mechanism",4,"Testing response"
"sample","Effects of Connectivity and Spatial Resolution of Analyses on   Conservation Prioritization across Large Extents","Anni Arponen and Joona Lehtomaki and Jarno Leppanen and Erkki Tomppo and Atte Moilanen","conservationbiology",2012,1,"Describing the state of nature",1,"Proposing a response"
"sample","Defining Trade-Offs among Conservation, Profitability, and Food Security   in the California Current Bottom-Trawl Fishery","Ray Hilborn and Ian J. Stewart and Trevor A. Branch and Olaf P. Jensen","conservationbiology",2012,2,"Threatening mechanism",2,"Designing a response"
"sample","Uncertain Sightings and the Extinction of the Ivory-Billed Woodpecker","Andrew Solow and Woollcott Smith and Mark Burgman and Tracy Rout and Brendan Wintle and David Roberts","conservationbiology",2012,1,"Describing the state of nature",0,"No response"
"sample","Using a Bayesian network to clarify areas requiring research in a   host-pathogen system","D. S. Bower and K. Mengersen and R. A. Alford and L. Schwarzkopf","conservationbiology",2017,1,"Describing the state of nature",0,"No response"
"sample","Using DNA barcoding to track seafood mislabeling in Los Angeles   restaurants","Demian A. Willette and Sara E. Simmonds and Samantha H. Cheng and Sofia Esteves and Tonya L. Kane and Hayley Nuetzel and Nicholas Pilaud and Rita Rachmawati and Paul H. Barber","conservationbiology",2017,3,"Source of mechanism",0,"No response"
"sample","Effectiveness of conservation easements in agricultural regions","Mark Braza","conservationbiology",2017,2,"Threatening mechanism",4,"Testing response"
"sample","Multispecies genetic objectives in spatial conservation planning","Erica S. Nielsen and Maria Beger and Romina Henriques and Kimberly A. Selkoe and Sophie von der Heyden","conservationbiology",2017,1,"Describing the state of nature",2,"Designing a response"
"sample","Trait-based prediction of extinction risk of small-bodied freshwater   fishes","R. Keller Kopf and Casey Shaw and Paul Humphries","conservationbiology",2017,1,"Describing the state of nature",0,"No response"
"sample","Desert pastoralists' negative and positive effects on rare wildlife in   the Gobi","L. Stefan Ekernas and Wesley M. Sarmento and Hannah S. Davie and Richard P. Reading and James Murdoch and Ganchimeg J. Wingard and Sukh Amgalanbaatar and Joel Berger","conservationbiology",2017,3,"Source of mechanism",0,"No response"
"sample","Combining geodiversity with climate and topography to account for   threatened species richness","Helena Tukiainen and Joseph J. Bailey and Richard Field and Katja Kangas and Jan Hjort","conservationbiology",2017,1,"Describing the state of nature",0,"No response"
"sample","The importance of agricultural lands for Himalayan birds in winter","Paul R. Elsen and Ramnarayan Kalyanaraman and Krishnamurthy Ramesh and David S. Wilcove","conservationbiology",2017,2,"Threatening mechanism",0,"No response"
"sample","Using historical ecology to reassess the conservation status of   coniferous forests in Central Europe","Peter Szabo and Petr Kunes and Helena Svobodova-Svitavska and Marketa Gabriela Svarcova and Lucie Krizova and Silvie Suchankova and Jana Mullerova and Radim Hedl","conservationbiology",2017,1,"Describing the state of nature",0,"No response"
"sample","Trade-offs and efficiencies in optimal budget-constrained multispecies   corridor networks","Bistra Dilkina and Rachel Houtman and Carla P. Gomes and Claire A. Montgomery and Kevin S. McKelvey and Katherine Kendall and Tabitha A. Graves and Richard Bernstein and Michael K. Schwartz","conservationbiology",2017,1,"Describing the state of nature",2,"Designing a response"
"sample","Population structure and landscape genetics in the endangered   subterranean rodent Ctenomys porteousi","Fernando J. Mapelli and Matias S. Mora and Patricia M. Mirol and Marcelo J. Kittlein","conservationgenetics",2012,1,"Describing the state of nature",0,"No response"
"sample","Population structure and genetic diversity of Rana dalmatina in the   Iberian Peninsula","Vanessa Sarasola-Puente and Maria Jose Madeira and Alberto Gosa and Miguel Lizana and Benjamin Gomez-Moliner","conservationgenetics",2012,1,"Describing the state of nature",0,"No response"
"sample","Connectivity of prairie dog colonies in an altered landscape: inferences   from analysis of microsatellite DNA variation","Loren C. Sackett and Todd B. Cross and Ryan T. Jones and Whitney C. Johnson and Kimberly Ballare and Chris Ray and Sharon K. Collinge and Andrew P. Martin","conservationgenetics",2012,2,"Threatening mechanism",0,"No response"
